b1	b2	b3	b4	b5	b6	b7	r1	r2	r3	r4	r5	r6	r7	R01	R02	R03	R04	R05	R06	R07
0.435	0.699	0.392	0.232	0.386	0.383	0.135	0.045	0.179	0.054	0.061	0.036	0.029	0.029	3.399	5.562	3.066	1.819	3.008	2.985	1.055
0.42	0.709	0.39	0.232	0.387	0.382	0.137	0.044	0.178	0.056	0.061	0.035	0.029	0.029	3.281	5.639	3.048	1.816	3.018	2.975	1.071
0.412	0.707	0.392	0.234	0.39	0.381	0.137	0.044	0.179	0.056	0.061	0.035	0.028	0.029	3.219	5.632	3.063	1.833	3.043	2.971	1.069
0.405	0.717	0.385	0.237	0.387	0.385	0.137	0.043	0.18	0.054	0.061	0.036	0.029	0.029	3.164	5.708	3.009	1.853	3.014	2.996	1.066
0.405	0.722	0.382	0.236	0.392	0.385	0.137	0.043	0.18	0.054	0.06	0.035	0.028	0.029	3.162	5.749	2.987	1.847	3.055	2.997	1.066
0.399	0.725	0.383	0.238	0.389	0.386	0.137	0.043	0.18	0.054	0.061	0.035	0.028	0.029	3.116	5.771	2.991	1.86	3.035	3.003	1.065
0.399	0.725	0.383	0.238	0.389	0.386	0.137	0.043	0.18	0.054	0.061	0.035	0.028	0.029	3.116	5.771	2.991	1.86	3.035	3.003	1.065
0.399	0.723	0.385	0.237	0.387	0.386	0.137	0.043	0.18	0.055	0.061	0.035	0.028	0.029	3.112	5.756	3.01	1.858	3.018	3.006	1.068
0.391	0.725	0.386	0.238	0.389	0.386	0.137	0.042	0.179	0.054	0.06	0.034	0.028	0.028	3.052	5.772	3.016	1.866	3.035	3.008	1.065
0.374	0.73	0.389	0.24	0.39	0.384	0.136	0.041	0.179	0.055	0.06	0.035	0.028	0.029	2.919	5.808	3.038	1.876	3.041	2.99	1.063
0.37	0.734	0.391	0.241	0.389	0.383	0.136	0.041	0.179	0.054	0.059	0.034	0.028	0.029	2.888	5.845	3.058	1.883	3.034	2.986	1.057
0.38	0.721	0.404	0.241	0.386	0.385	0.135	0.041	0.178	0.055	0.057	0.033	0.027	0.028	2.967	5.736	3.157	1.888	3.011	2.998	1.053
0.388	0.719	0.401	0.241	0.386	0.386	0.135	0.042	0.179	0.055	0.057	0.033	0.027	0.028	3.028	5.719	3.136	1.882	3.01	3.006	1.054
